id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm
370361,Private Guest Studio- Phinney Ridge,1865986,Sheldon,Phinney Ridge,47.68271,-122.35768,Entire home/apt,129,3,346,2.32,2,60,39
387078,Modern Capitol Hill. Location. Great Monthly Rates,1121532,Melissa,Broadway,47.62361,-122.32577,Entire home/apt,157,30,182,1.3,10,322,1
392140,Fantastic View-Close to Light Rail-Solar Powered!,3313235,Leslie,North Beacon Hill,47.58576,-122.31581,Private room,81,3,345,2.33,2,305,21
392779,2/1 Plush Modern Hilltop Retreat,437055,Jyoti And Tushar,North Beacon Hill,47.57389,-122.31428,Entire home/apt,155,30,204,1.39,1,98,9
421168,Greenwood Studio,2094547,Samantha & Peter,Greenwood,47.70021,-122.35106,Entire home/apt,107,3,479,3.29,1,102,38
430610,❤️󱀁 modern ✔roof deck ✔garage✔90Walkscore [Rare],165390,SeattleStays - Seth Gordon,Wallingford,47.65356,-122.33952,Entire home/apt,465,14,137,0.95,2,14,3
461234,Browns House Guest Apt. in Ballard,1870781,Diana,Whittier Heights,47.68444,-122.37338,Entire home/apt,99,4,378,2.58,1,284,19
475361,NE Seattle Artist Treehouse Suite!,2342082,Marilyn,Cedar Park,47.71652,-122.29126,Private room,77,30,116,0.79,1,179,0
490076,Super cute w/gardens & charm. Great location!,3921530,Ann Petrich,Fremont,47.65617,-122.35262,Entire home/apt,96,5,444,3.62,3,28,21
491958,Columbia City Treehouse Vacation Rental,2431399,Jay,Columbia City,47.56007,-122.27873,Entire home/apt,79,30,420,2.88,1,324,0
493591,the 5-star  house-# 5-> Marilyn Monroe's room,2438665,Flor,Crown Hill,47.7019,-122.36781,Private room,56,30,182,1.24,4,364,2
552325,Lovely 2BR Apt on Portage Bay near UW + Eastlake,306615,Tara,Portage Bay,47.65043,-122.32021,Entire home/apt,220,30,35,0.26,2,193,2
564220,Cute Bungalow #2 - near Light Rail,2774354,Kristin,Mount Baker,47.57783,-122.29251,Private room,,2,273,1.89,2,0,31
564428,Cute Bungalow #1 - near Light Rail,2774354,Kristin,Mount Baker,47.57796,-122.29373,Private room,65,2,345,2.37,2,5,47
565703,Garden Apartment in Madison Valley,2781551,Ron,Mann,47.620624,-122.29714,Entire home/apt,184,3,351,2.56,4,182,6
566435,"""The 5-Star House"" - # 6->The Hawaiian room",2438665,Flor,Crown Hill,47.70084,-122.36738,Private room,55,30,91,0.63,4,326,1
573942,Queen Bee room w/cooling memory foam bed,30559,Angielena,Georgetown,47.54916,-122.31819,Private room,69,2,261,1.81,10,317,22
598023,West Seattle Home at Alaska Junction!,2613029,Jeffrey,Genesee,47.56162,-122.38812,Entire home/apt,199,30,22,0.17,1,365,0
609610,A place to stay: studio apartment,3022709,Laura,Columbia City,47.56994,-122.29403,Entire home/apt,105,30,36,0.25,1,318,3
620518,Spacious quiet/deck Ravenna UW 04-5,3074414,Melissa,Ravenna,47.67489,-122.29078,Entire home/apt,125,30,14,0.1,132,116,2
631445,Belltown View Condo,3139639,Alicia,Belltown,47.61373,-122.34887,Entire home/apt,200,5,202,1.4,1,34,29
635878,"Center UW Remodeled in 2021, Spacious 2 Beds (203)",3074414,Melissa,University District,47.66313,-122.31428,Entire home/apt,125,30,40,0.3,132,79,0
637710,Roots at the Center of the Universe,3181546,Farhad,Fremont,47.653,-122.35595,Entire home/apt,264,2,154,1.1,1,210,10
654734,Downtown/Convention Center Condo,3294357,Grace,First Hill,47.61311,-122.32947,Entire home/apt,175,30,87,0.61,1,214,5
661708,Elegant Madison Park Townhome,3340441,Roberta,Harrison/Denny-Blaine,47.62563,-122.29181,Entire home/apt,195,30,25,0.34,1,310,11
670262,One Bedroom Cozy House + Hot Tub,3396093,Elisa,Greenwood,47.69132,-122.36279,Entire home/apt,,3,9,0.06,3,0,5
671828,Private En Suite Room & Hot Tub,3396093,Elisa,Greenwood,47.6911,-122.36467,Private room,,1,12,0.12,3,0,11
677266,Victorian double room,30559,Angielena,Georgetown,47.55041,-122.31857,Private room,96,2,133,0.93,10,346,9
677365,Spacious West Seattle Mid Century Modern In-law,926885,Jamie & Kyle,South Delridge,47.52957,-122.36013,Entire home/apt,130,1,297,3.84,2,95,43
689309,Elegance and Coziness in Broadview,3520873,Philippe,Broadview,47.72131,-122.35846,Private room,146,30,17,0.12,1,364,0
703058,True Wallingford Craftsman,1611114,Craig,Wallingford,47.65144,-122.33734,Entire home/apt,265,4,215,1.5,1,77,8
704764,Elegant Vintage Craftsman Apartment With Garden,3620313,Catherine,North Queen Anne,47.64057,-122.36956,Entire home/apt,194,1,355,2.53,1,118,13
708774,Clean and Comfortable Eastlake/Lake Union 1 BR,316200,William,Eastlake,47.64,-122.32412,Entire home/apt,81,30,143,1.02,7,112,5
723723,BAMBOO BUNGALOW,3740695,BleuPapillon,Harrison/Denny-Blaine,47.61896,-122.28818,Entire home/apt,524,30,50,0.35,2,89,0
723846,"The Cozy Cottage in Maple Leaf (UW, Green Lake)",3737272,Cheryl & Steve,Maple Leaf,47.69839,-122.31505,Entire home/apt,134,2,191,1.38,1,330,10
748526,Mother in law studio-Ballard/phinne,3932149,Amy,Phinney Ridge,47.67846,-122.36325,Entire home/apt,61,30,85,0.6,1,248,0
757840,"Hilltop House: Great Location, New Furnishings",3991908,Becky,East Queen Anne,47.63349,-122.35611,Entire home/apt,479,4,499,3.53,1,257,29
793629,Cheery Seattle House with View,4181120,Candace,North Beacon Hill,47.57734,-122.31492,Entire home/apt,121,6,327,2.33,1,19,10
797358,Cozy Private Room and Bath in Old Craftsman House,4199445,Liam,Mount Baker,47.57265,-122.29136,Private room,,2,181,1.54,2,0,4
841274,Goat Hill House Apartment,4133943,Jill,Mount Baker,47.58548,-122.29458,Entire home/apt,109,3,210,1.53,1,291,27
844939,"Five Star Downtown Designer Urban Suite, Space Needle View",4411144,Emma,Belltown,47.61503,-122.3475,Entire home/apt,198,1,267,1.93,2,310,59
846763,Right at Home in Ravenna,4421734,Tara,Ravenna,47.67995,-122.30859,Private room,60,30,80,0.57,1,283,4
850481,Two Bedroom Cozy Home + Hot Tub,3396093,Elisa,Greenwood,47.68957,-122.36296,Entire home/apt,212,7,7,0.07,3,20,4
877203,In Jimi Hendrix's neighborhood 2,287172,Laura,Atlantic,47.60029,-122.30185,Private room,53,30,107,0.78,2,299,4
879181,In Jimi Hendrix's neighborhood 3,287172,Laura,Atlantic,47.60096,-122.3019,Private room,53,30,106,0.76,2,228,7
902609,Studio in West Seattle,3264544,Fabio,Highland Park,47.52383,-122.35287,Entire home/apt,83,2,276,2.01,6,309,22
904057,Seattle Mini Home with Hot Tub and Private Deck,4678869,Errin,West Woodland,47.66617,-122.36693,Entire home/apt,130,3,560,4.05,1,299,48
948077,The Cottage a Capitol Hill Oasis by Bowerbird Home,365687,Erik,Broadway,47.62845,-122.32513,Entire home/apt,242,2,570,4.17,1,270,67
993804,Spacious bedroom across Children's,3169976,Valerie,Laurelhurst,47.66308,-122.2838,Private room,65,30,7,0.05,1,31,2
1000883,Westside Hideaway,5486919,Nicole,North Admiral,47.58246,-122.39668,Entire home/apt,200,2,240,1.79,1,71,13
1012003,Capitol Hill Gem in Great Location,5567436,Larry & Suzi,Broadway,47.63948,-122.32236,Private room,145,30,36,0.27,1,296,0
1023693,Cozy and Stylish Ballard Apartment,5635244,Shannon,Whittier Heights,47.67936,-122.3704,Entire home/apt,150,2,382,2.88,2,234,23
1042022,Perfect Location by Lake Washington,5736221,Lene & Johnny,Madison Park,47.63326,-122.28009,Entire home/apt,140,2,404,2.98,1,264,42
1048798,"West Seattle Home, Dazzling View, Quiet & Tranquil",5774906,Carter,Fauntleroy,47.52586,-122.38272,Entire home/apt,229,2,495,3.64,1,195,51
1097520,Relaxed sophistication in Mt. Baker,6031552,Jeanie,Mount Baker,47.56692,-122.28106,Entire home/apt,121,30,320,2.37,1,320,7
1100686,High ceiling/ amazing location in artsy Fremont -,3921530,Ann Petrich,Fremont,47.65417,-122.35402,Private room,79,5,370,3.01,3,42,11
1112092,Seattle Backyard Cottage-Queen Anne,5856339,Anne And Peter,West Queen Anne,47.63555,-122.365,Entire home/apt,145,7,59,0.43,1,289,3
1114695,"100s Walkscore Garage Deck, Zoo, Green Lake, Fire Place.",165390,SeattleStays - Seth Gordon,Wallingford,47.66215,-122.33879,Entire home/apt,,4,79,0.59,2,0,1
1122236,Modern Luxury on Capitol Hill,1121532,Melissa,Broadway,47.62383,-122.32381,Entire home/apt,157,30,145,1.07,10,345,4
1125133,Elegant & Quiet walk to UW (49),3074414,Melissa,University District,47.65908,-122.31771,Entire home/apt,128,30,37,0.27,132,206,0
1136522,Spacious/Clean/walk U Village 05.5,3074414,Melissa,Ravenna,47.66988,-122.29925,Entire home/apt,128,30,18,0.14,132,105,0
1142010,Small artsy house in vibrant Columbia City,928640,Carla,Columbia City,47.5533,-122.27682,Entire home/apt,70,30,1,0.05,1,90,0
1146966,Artsy home in terrific Fremont neighborhood,3921530,Ann Petrich,Fremont,47.65474,-122.3526,Private room,80,5,329,2.45,3,62,10
1150519,Classic Craftsman - 95 Walk Score!,6305984,Sarah,University District,47.67113,-122.31419,Entire home/apt,300,30,19,0.14,1,244,0
1157083,Bright and fun unit downtown-Convention Ctr!,30832,Siena C.C.,First Hill,47.61248,-122.32861,Entire home/apt,308,3,111,0.83,5,177,21
1159111,St. John's Apt. 203 *Walkscore 99*,1787819,Saint,First Hill,47.61385,-122.32245,Entire home/apt,173,30,171,1.27,2,147,16
1171574,Private Entrance and Central,4485958,Phil And Andrea,Madrona,47.60962,-122.2952,Entire home/apt,89,3,651,4.84,2,21,52
1175308,Ballard oasis in the pacific Northwest,6432543,Jenny,Loyal Heights,47.6781,-122.38932,Entire home/apt,215,5,25,0.19,1,9,3
1205666,West Seattle - Northwest Modern Hm1,6584748,Sean And Karla,Gatewood,47.53029,-122.38604,Private room,99,1,329,2.44,2,44,21
1219691,Sweet 1920's cottage in N. Seattle,6654033,April King,Haller Lake,47.73206,-122.33943,Entire home/apt,,30,68,0.51,1,0,1
1246769,Light & Modern Downtown Conv Ctr,1025723,Dirk & Jaq,First Hill,47.61215,-122.32971,Entire home/apt,261,3,440,3.28,2,88,44
1256892,Daisy Mae's Guest Space - Phinney Ridge,6846442,Laurie,Phinney Ridge,47.67758,-122.35822,Entire home/apt,107,2,290,2.16,1,191,22
1260259,Zen Garden Oasis,3009864,Jessica,Lawton Park,47.66046,-122.40292,Entire home/apt,230,20,148,1.1,1,59,7
1263470,Sweet Seattle Urban Homestead 1 Bdr,4193,Jessica,Dunlap,47.53112,-122.27627,Entire home/apt,118,30,7,0.06,3,296,0
1265651,Quiet Top floor 2 bdrs 2 baths UW & Trail W/D 401,3074414,Melissa,University District,47.66456,-122.3046,Entire home/apt,180,30,30,0.24,132,143,1
1299597,Newly Renovated Modern 2BR Basement Apt in Leschi,7066141,Kimberly,Leschi,47.60179,-122.29357,Entire home/apt,,2,36,1.43,1,0,18
1301535,2 Huge Private Rooms + Common Area,468703,Corinne & Tom,Loyal Heights,47.68359,-122.38034,Entire home/apt,111,2,356,2.9,1,108,21
1305895,Garden view room in Quiet Greenlake house w trees,946910,Nathan,Wallingford,47.66669,-122.33687,Private room,55,30,6,0.04,1,60,0
1351716,Sparkling Clean Guest House,6592975,Huong And Bill,Atlantic,47.59674,-122.30964,Entire home/apt,98,30,257,1.93,1,174,3
1355094,Capitol Hill Excursion part #4,5112492,Leah,Broadway,47.62195,-122.32262,Private room,50,30,177,1.33,4,151,0
1356339,"Capitol Hill Modern Apt, Great location!",1121532,Melissa,Broadway,47.62235,-122.32594,Entire home/apt,157,30,191,1.46,10,318,3
1365882,Serene W/D walk to UW/U Village 203,3074414,Melissa,University District,47.66178,-122.30149,Entire home/apt,148,30,37,0.28,132,307,1
1407502,Private garden room in hip Ballard,6136210,Nicole,West Woodland,47.67306,-122.36651,Private room,70,30,27,0.22,1,365,0
1417880,Center UW 2 beds large Quiet  (210),3074414,Melissa,University District,47.66139,-122.31495,Entire home/apt,120,30,40,0.3,132,297,0
1484595,Steps to UW  Modem & Cable TV (31),3074414,Melissa,University District,47.65865,-122.31784,Entire home/apt,125,30,38,0.29,132,309,1
1493349,Univ Village Walk to UW   Comfortable 5507,3074414,Melissa,Ravenna,47.66822,-122.2986,Entire home/apt,120,30,45,0.34,132,312,4
1494828,Modern and Clean 2 Bedroom in Eastlake/Lake Union,316200,William,Eastlake,47.63996,-122.32414,Entire home/apt,135,30,246,1.87,7,268,3
1494986,Queen Anne Guesthouse with Deck and Garden View,316200,William,East Queen Anne,47.63346,-122.34558,Entire home/apt,143,3,200,1.52,7,291,24
1531351,Strong WiFi 3 Min walk UW Clean (7),3074414,Melissa,University District,47.65745,-122.31625,Entire home/apt,120,30,36,0.27,132,331,1
1531458,Remodeled Walk to UW/View/Serene #F,3074414,Melissa,University District,47.66502,-122.30352,Entire home/apt,125,30,68,0.52,132,154,2
1539463,Private room/bath - Madrona/Seattle,5312600,Rainer,Mann,47.61367,-122.29716,Private room,78,3,63,0.48,2,61,1
1541705,Quiet Room U Village Private Entrance /UW (3),3074414,Melissa,Ravenna,47.66685,-122.295,Private room,78,30,37,0.28,132,200,2
1579615,"Seattle Oasis: Centrally Located, 50A EV Charger.",4384828,Monique,Adams,47.67566,-122.38795,Entire home/apt,206,3,343,2.61,2,310,36
1589732,Relaxing Short walk to UW (5),3074414,Melissa,University District,47.65884,-122.31809,Entire home/apt,100,30,27,0.21,132,331,0
1593991,"Sequim, Olympic Mountains Wa",8501598,Stan,North Beach/Blue Ridge,47.69106,-122.38337,Private room,,30,42,0.34,1,365,0
1599010,Center UW Large Wood Floor King bed walk UW (104),3074414,Melissa,University District,47.66135,-122.31503,Entire home/apt,110,30,31,0.26,132,328,8
1603124,Center UW Fast Internet Comfy 208,3074414,Melissa,University District,47.66108,-122.31434,Entire home/apt,125,30,24,0.18,132,312,1
1603408,"Short walk to UW, Remodeled Serene (47)",3074414,Melissa,University District,47.65891,-122.31745,Entire home/apt,131,1,44,0.34,132,214,0
1628210,"Private 2 Bed, Full Bath House near Greenlake",8654046,Ronda,Phinney Ridge,47.68073,-122.34874,Entire home/apt,231,2,27,0.25,2,33,7
1629525,Inner city room so close to downtown,8660724,Deb,North Beacon Hill,47.57793051,-122.3002051,Private room,45,30,10,0.13,3,125,3
1647216,"Center UW New, Fancy & Cute, 04",3074414,Melissa,University District,47.66281,-122.31305,Entire home/apt,110,30,23,0.19,132,92,0
1684236,Seattle Downtown Attractions & Convention Center,8905591,David,First Hill,47.61215,-122.32971,Entire home/apt,250,3,223,1.71,1,300,14
1686930,Walk to Space Needle Vintage View with King Bed,8916363,Paige,West Queen Anne,47.63059,-122.36509,Entire home/apt,220,1,709,5.43,3,18,113
1696389,Luxury Queen Anne 3bd2ba Sunset&Sea View Furnished,8956137,William,West Queen Anne,47.6304,-122.37041,Entire home/apt,395,30,5,0.07,1,304,0
1716901,Charming one bed apt - Capitol Hill,3650951,Candace,Broadway,47.61884,-122.32476,Entire home/apt,130,3,122,1.11,1,19,1
1732441,Green on Green - Top Level of House,1214247,Marcell,North Delridge,47.56204,-122.36149,Entire home/apt,90,2,213,1.67,1,236,32
1737244,Your Warm  Retreat,9148911,Constance,Bryant,47.67148,-122.28099,Private room,71,30,40,0.35,1,322,0
1764100,Center UW Chic Clean & Comfy 309,3074414,Melissa,University District,47.66316,-122.31276,Entire home/apt,115,30,54,0.42,132,260,1
1773803,View Emerald City Jewel Apt UW 1BD Great Location,8026420,Sheldon,University District,47.6568,-122.31299,Entire home/apt,92,30,303,2.33,2,339,0
1802663,Urban Oasis Within Wallingford home,9450725,Ron,Wallingford,47.65428,-122.33766,Entire home/apt,116,2,365,2.81,1,182,37
1807936,JazzBb,3464851,Ev,Maple Leaf,47.70265,-122.31618,Private room,60,30,25,0.29,1,358,0
1820794,"Cozy Suite, Covered Backyard Patio, Walk to Climate Pledge",9533123,Pam,East Queen Anne,47.63089,-122.34815,Entire home/apt,150,2,629,4.94,1,266,45
1851863,Perfect Home away from home near Green Lake Park,9671138,Susanna,Greenwood,47.69674,-122.34621,Entire home/apt,,30,44,0.34,1,175,0
1900698,Glam Room in Diverse Neighborhood,3118422,Julie,Columbia City,47.55306,-122.28104,Private room,40,30,204,1.59,1,230,1
1909058,Queen Anne Private Bed and Bath,2497928,Gary And Beth,West Queen Anne,47.63812,-122.37077,Private room,100,3,191,1.51,1,328,18
1925661,Large 1BD w/bath/walkin closet; parking included,9975709,Bea,North Beacon Hill,47.57943,-122.30387,Private room,100,30,104,0.85,1,174,0
1935439,Sunny Private Room by Carkeek Park,10014839,Timothy,Greenwood,47.70407,-122.36123,Private room,35,30,19,0.16,1,89,0
1976382,Modern luxury on Capitol Hill,1121532,Melissa,Broadway,47.62372,-122.32417,Entire home/apt,157,30,95,0.75,10,352,0
1983713,Private  Retreat in the City,10235544,Scott (Aka Skip),Leschi,47.59181,-122.29372,Entire home/apt,120,10,56,0.45,3,189,4
2026794,West Room in Cozy Charming 1905 Cottage,10392662,Sheryl,Wallingford,47.65973,-122.3322,Private room,71,30,248,1.95,2,52,1
2033191,Green Lake VIEW 2 Bed 1 Bath Apt,10437300,Paul,Green Lake,47.67612,-122.33221,Entire home/apt,196,3,163,1.32,1,276,28
2037250,Bedroom with Private Spa-like Bath,1865986,Sheldon,Greenwood,47.68434,-122.3572,Private room,95,3,109,0.87,2,64,9
2069917,1 Bdrm N. Beacon Hill Apt-East Unit,8284327,Anna,North Beacon Hill,47.57325,-122.3074,Entire home/apt,89,30,99,0.87,1,297,2
2118253,UW Spacious & Elegant 5 guests OK,3074414,Melissa,University District,47.66789,-122.3008,Entire home/apt,178,30,35,0.28,132,130,0
2150760,Seward Park Cottage,10977007,Michelle,Seward Park,47.55264,-122.27113,Entire home/apt,138,2,222,1.77,1,39,19
2197168,Adorable Cottage near Light Rail,11206862,Tammi,North Beacon Hill,47.57882,-122.30842,Entire home/apt,139,30,173,1.37,1,296,4
2215336,2 bed Greenlake Apt- block from lake. Pets.,11299221,Kelly,Green Lake,47.67334,-122.33451,Entire home/apt,166,2,183,1.51,4,218,25
2234730,Center UW Bright/Quiet Wood FL 205,3074414,Melissa,University District,47.66082,-122.31358,Entire home/apt,115,30,41,0.38,132,244,1
2267862,Ballard Modern Studio,11580391,Shawn,West Woodland,47.66577,-122.36659,Entire home/apt,135,2,51,0.52,1,112,7
2297917,Carkeek Retreat,11737076,Donna,Broadview,47.70914,-122.36338,Entire home/apt,100,1,180,1.43,1,280,24
2298775,Secluded Setting in North Seattle B,225830,Lee & Steve,Maple Leaf,47.69968,-122.30691,Private room,60,10,96,0.77,1,144,7
2391699,Hidden Artistic GEM & BEST of Seattle-Clean!!!,1123549,Sandy,Fremont,47.65401,-122.34515,Private room,65,2,627,5.12,2,56,40
2396734,"Modern 2 bdrm, 2 Lofts apt, 50A EV charger, prkng.",4384828,Monique,Adams,47.67529297,-122.3888168,Entire home/apt,219,30,162,1.3,2,333,23
2446384,Ravenna Daylight Basement Suite,12509177,Susan And Joel,Ravenna,47.6824,-122.30303,Private room,70,1,246,2.55,1,74,70
2471659,"Charming, split-level 1BD retreat",2824920,Gerrit & Ann,Columbia City,47.55217,-122.28502,Entire home/apt,98,2,466,3.88,1,291,30
2481189,City-Centric Queen Anne Getaway,12693172,Laura & Peter,East Queen Anne,47.63757,-122.34593,Entire home/apt,226,2,149,1.19,1,269,28
2486612,"Quiet Second Floor ""Zen"" Apartment",6433045,Joseph,North Beacon Hill,47.5739,-122.30978,Entire home/apt,85,30,368,2.93,1,264,22
2522091,Apartment Ocean and Mountain Views,12913415,Michelle,North Admiral,47.587074,-122.393158,Entire home/apt,164,3,200,1.6,2,279,13
2536507,Alki Beach Studio Oasis Quiet Escape & Sweeping Ocean Views,5570855,Marian,North Admiral,47.58378,-122.39909,Entire home/apt,171,2,587,4.71,2,322,38
2578855,Cozy Suite in Even Cozier Location!,5507715,Stephanie,Greenwood,47.68469,-122.35214,Entire home/apt,98,3,421,3.39,1,147,33
2612399,Studio Loft Garden Cottage,4485958,Phil And Andrea,Madrona,47.60929,-122.29554,Entire home/apt,116,5,526,4.28,2,124,49
2614238,Mid Century Lakefront Condo,13386991,Kelly,Leschi,47.59676,-122.28667,Entire home/apt,85,30,16,0.13,1,111,6
2614387,"Artistic Hidden GEM & Best of Seattle, Clean!!!",1123549,Sandy,Fremont,47.6551,-122.34316,Private room,70,2,684,5.49,2,66,50
2620429,Downtown Convention Center 2BR 2BA,30832,Siena C.C.,First Hill,47.61165,-122.32899,Entire home/apt,353,3,486,3.95,5,210,34
2670365,Light-Filled Room in 1908 Victorian in Hip Capitol Hill,13669439,Matthew,Stevens,47.63193,-122.30955,Private room,55,30,275,2.49,2,230,2
2686374,"Old Ballard 2nd flr & loft, parking, low fees",2231298,Chris,Adams,47.67294,-122.38311,Entire home/apt,227,1,748,6.02,3,306,47
2692126,"Queen Anne Apt near Climate Pledge, SLU, Downtown",106972,Kelly,East Queen Anne,47.63007,-122.34499,Entire home/apt,144,3,308,2.56,3,132,33
2693672,[Brand New Renovation] Space Needle Condo,13786062,Lucy,Belltown,47.61855,-122.34512,Entire home/apt,137,5,229,1.85,2,65,34
2693700,Fremont Urban Oasis,13786376,Manuela,Fremont,47.65456,-122.3594,Entire home/apt,150,2,633,5.17,1,297,69
2710274,South Room in Cozy Charming 1905 Cottage,10392662,Sheryl,Wallingford,47.65924,-122.33191,Private room,,30,190,1.53,2,21,1
2727808,Fremont Cozy Cottage,13959773,Rose Michelle,Fremont,47.65856,-122.35146,Entire home/apt,95,14,214,1.73,1,292,0
2731253,The Pad,601600,Hal,Fremont,47.65361,-122.34931,Entire home/apt,169,3,338,2.73,2,317,23
2760312,The Roost - Restful Apartment with AC & Gym,14107195,Jean-Sébastien,Fremont,47.65412,-122.35262,Entire home/apt,220,2,465,3.78,4,5,24
2762241,High End Phinney Apartment,14127360,Anne,Phinney Ridge,47.67279,-122.35926,Entire home/apt,125,3,52,0.43,1,107,2
2809796,Garden Cottage near beach/downtown,14372052,Kathleen,North Delridge,47.56628,-122.36652,Entire home/apt,88,2,389,3.18,1,277,37
2830174,"Fun, Cozy Seattle Launchpad",3381463,Katrina,Atlantic,47.59485,-122.3095,Private room,71,30,29,0.23,1,83,0
2847177,Fast internet short walk to UW (209),3074414,Melissa,University District,47.66315,-122.31348,Entire home/apt,120,30,24,0.19,132,85,0
2882641,"No Cleaning Fee!  Quiet, urban Capitol Hill house",13240442,Adam,Stevens,47.62494,-122.30343,Entire home/apt,175,6,99,0.81,2,267,6
2923529,Fremont Sunrise View with Free Parking,14926558,Sarah & Katie,North Queen Anne,47.64714,-122.35336,Entire home/apt,205,2,412,3.35,1,222,31
2931922,"2 Baths W/D,View walk UW (302)",3074414,Melissa,University District,47.66308,-122.30442,Entire home/apt,190,30,45,0.38,132,55,4
2935486,2-bdrm Waterfront Downtown Seattle,14015217,Elsie,Belltown,47.615265,-122.349747,Entire home/apt,306,1,538,4.38,1,288,43
2948548,Center UW Fast Internet Comfy 109,3074414,Melissa,University District,47.66094,-122.31542,Entire home/apt,125,30,45,0.37,132,129,1
2950213,Entire artist's  apt in hip hood,15060417,Ginny,Adams,47.66482,-122.38316,Entire home/apt,300,5,146,1.2,1,231,7
2970666,"Spacious, Modern, Location",1121532,Melissa,Broadway,47.62192,-122.32569,Entire home/apt,157,30,194,1.58,10,282,2
2976798,Cozy City Bedroom and Den,2066223,Patricia,Wallingford,47.65491,-122.32722,Private room,72,2,312,2.72,1,17,33
2989758,Sunny Craftsman home in Fremont,1730412,Desdemona,Fremont,47.66143,-122.35278,Entire home/apt,143,2,345,2.82,1,12,32
2995996,The Blue House on Thomas Corner in Madison Valley,2781551,Ron,Mann,47.62126,-122.29708,Entire home/apt,399,30,63,0.52,4,0,0
